167751,2021,GMC,ACADIA,SLE,4,Automatic,2.5L,FWD,G,1GKKNKLA0MZ167751,3338,RED,GRAY,Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; Sentry Key; Keyless Entry; Daytime Running Lights; Dual Airbags Front Head and Side; Active Seatbelts; Dual Rear Side Airbags; All Wheel ABS,0,0,0,,,25900,N,,SUV,27035,11/30/2022,0,Used,0,0,0,0,0,,,4DR,0,,
907364,2019,TOYOTA,COROLLA,LE,4,Continuously Variable,1.8L,FWD,G,5YFBURHEXKP907364,18750,GRAY,BLACK,Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; Immobilizer; Keyless Entry; Daytime Running Lights; Dual Front Airbags; Side Airbags; Head Airbags; Rear Head Airbags; Active Seatbelts; All Wheel ABS,0,0,0,,,13300,N,,Sedan,13894.82,12/5/2022,0,Used,0,0,0,0,0,,,4DR,0,,
246024,2015,JEEP,COMPASS,LATITUDE,4,Automatic,2.4L,4WD,G,1C4NJDEB6FD246024,62836,RED,,Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; Immobilizer; Keyless Entry; Available; Dual Airbags Front Head and Side; Active Seatbelts; Passenger Airbag Sensor; Dual Rear Side Airbag; All Wheel ABS,0,0,0,,,9000,N,,SUV,9469.67,11/10/2022,0,Used,0,0,0,0,0,,,4DR,0,,
B44121,2016,FORD,EXPLORER,XLT,4,Automatic,2.3L,FWD,G,1FM5K7DH9GGB44121,68457,GRAY,BLACK,Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; AM/FM CD/DVD; Sentry Key; Keyless Entry; Alarm; Daytime Running Lights; Dual Front Airbags; Side Airbags; Head Airbags; Rear Head Airbags; Active Seatbelts; All Wheel ABS,0,0,0,,,6000,N,,SUV,11678,11/17/2022,0,Used,0,0,0,0,0,,,4DR,0,,
D83967,2019,FORD,F150,SUPER CAB,8,Automatic,5.0L,4WD,G,1FTFX1E58KKD83967,81160,WHITE,GRAY,Air Conditioning; Available; Power Steering; Tilt Wheel; AM/FM; Satellite; Immobilizer; Keyless Entry; Alarm; Daytime Running Lights; Dual Front Airbags; Side Airbags; Head Airbags; Rear Head Airbags; Active Seatbelts; Extended Cab; Regular Bed; All Wheel ABS; 1/2 Ton,0,0,0,,,16950,N,,Truck,17050,12/23/2022,0,Used,0,0,0,0,0,,,4DR,0,,
465776,2018,CHEVROLET,SILVERADO 1500,LT,8,Automatic,5.3L,4WD,G,3GCUKREC5JG465776,51900,WHITE,BLACK,Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; Active keyless entry; Daytime Running Lights; Dual Airbags Front Head and Side; Active Seatbelts; Passenger Airbag Sensor; Crew Cab; Short Bed; All Wheel ABS; 1/2 Ton,0,0,0,"ftp.gauravojha.com/101745_465776_20.jpg,ftp.gauravojha.com/101745_465776_21.jpg,ftp.gauravojha.com/101745_465776_22.jpg,ftp.gauravojha.com/101745_465776_23.jpg,ftp.gauravojha.com/101745_465776_24.jpg,ftp.gauravojha.com/101745_465776_25.jpg,ftp.gauravojha.com/101745_465776_26.jpg,ftp.gauravojha.com/101745_465776_27.jpg,ftp.gauravojha.com/101745_465776_28.jpg,ftp.gauravojha.com/101745_465776_29.jpg,ftp.gauravojha.com/101745_465776_30.jpg,ftp.gauravojha.com/101745_465776_31.jpg,ftp.gauravojha.com/101745_465776_32.jpg,ftp.gauravojha.com/101745_465776_33.jpg,ftp.gauravojha.com/101745_465776_34.jpg,ftp.gauravojha.com/101745_465776_35.jpg,ftp.gauravojha.com/101745_465776_36.jpg,ftp.gauravojha.com/101745_465776_37.jpg",,25500,N,30500,Truck,27748.43,12/7/2022,0,Used,0,0,0,0,0,,,4DR,0,Leather,1/5/2023
H69332,2018,RAM,PROMASTER CITY,,4,Automatic,2.4L,FWD,G,ZFBERFAB6J6H69332,54000,WHITE,BLACK,Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; Active keyless entry; Available; Dual Air Bags Front and Sides; Active Belts; All Wheel ABS,0,0,0,,,18500,N,,Van,19501.76,12/7/2022,0,Used,0,0,0,0,0,,,4DR,0,,
D96434,2019,FORD,F150,SUPERCREW,8,Automatic,5.0L,4WD,G,1FTEW1E57KKD96434,81310,WHITE,GRAY,Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM; Satellite; Immobilizer; Keyless Entry; Alarm; Daytime Running Lights; Dual Front Airbags; Side Airbags; Head Airbags; Rear Head Airbags; Active Seatbelts; Crew Cab; Regular Bed; All Wheel ABS; Manual Sun/Moon Roof; 1/2 Ton,0,0,0,,,21000,N,,Truck,21132.9,12/12/2022,0,Used,0,0,0,0,0,,,4DR,0,,
782074,2019,HYUNDAI,SONATA,SE,4,Automatic,2.4L,FWD,G,5NPE24AF2KH782074,31900,WHITE,,Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; Immobilizer; Keyless Entry; Alarm; Daytime Running Lights; Dual Front Airbags; Side Airbags; Head Airbags; Rear Head Airbags; Active Seatbelts; All Wheel ABS,0,0,0,,,13500,N,,Sedan,13928.85,12/7/2022,0,Used,0,0,0,0,0,,,4DR,0,,
C02783,2017,FORD,F150,SUPERCREW,6,Automatic,3.5L,4WD,G,1FTEW1EG2HFC02783,93150,BLACK,,Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM; AM/FM CD/MP3; Satellite; Immobilizer; Keyless Entry; Alarm; Daytime Running Lights; Dual Front Airbags; Side Airbags; Head Airbags; Rear Head Airbags; Active Seatbelts; Crew Cab; Regular Bed; All Wheel ABS; 1/2 Ton,0,0,0,,,29284.8, ,,Truck,29284.8, 1/04/23,0,Used,0,0,0,0,0,,,4DR,0,,
